geo,cluster13,region,nation,fips,1876_D,1876_R,1876_O,1876_T,1880_D,1880_R,1880_O,1880_T,1884_D,1884_R,1884_O,1884_T,1888_D,1888_R,1888_O,1888_T,1892_D,1892_R,1892_O,1892_T,1896_D,1896_R,1896_O,1896_T,1900_D,1900_R,1900_O,1900_T,1904_D,1904_R,1904_O,1904_T,1908_D,1908_R,1908_O,1908_T,1912_D,1912_R,1912_O,1912_T,1916_D,1916_R,1916_O,1916_T,1920_D,1920_R,1920_O,1920_T,1924_D,1924_R,1924_O,1924_T,1928_D,1928_R,1928_O,1928_T,1932_D,1932_R,1932_O,1932_T,1936_D,1936_R,1936_O,1936_T,1940_D,1940_R,1940_O,1940_T,1944_D,1944_R,1944_O,1944_T,1948_D,1948_R,1948_O,1948_T,1952_D,1952_R,1952_O,1952_T,1956_D,1956_R,1956_O,1956_T,1960_D,1960_R,1960_O,1960_T,1964_D,1964_R,1964_O,1964_T,1968_D,1968_R,1968_O,1968_T,1972_D,1972_R,1972_O,1972_T,1976_D,1976_R,1976_O,1976_T,1980_D,1980_R,1980_O,1980_T,1984_D,1984_R,1984_O,1984_T,1988_D,1988_R,1988_O,1988_T,1992_D,1992_R,1992_O,1992_T,1996_D,1996_R,1996_O,1996_T,2000_D,2000_R,2000_O,2000_T,2004_D,2004_R,2004_O,2004_T,2008_D,2008_R,2008_O,2008_T,2012_D,2012_R,2012_O,2012_T,2016_D,2016_R,2016_O,2016_T,2020_D,2020_R,2020_O,2020_T,2024_D,2024_R,2024_O,2024_T
"Autauga County, Alabama",12,Gulf Coast,Deep South,0500000US01001,804,"1,576",0,"2,380",978,974,15,"1,967",911,877,1,"1,789",893,519,0,"1,412",926,81,953,"1,960","1,281",289,110,"1,680",980,537,46,"1,563",733,73,10,816,655,97,0,752,622,43,183,848,773,99,16,888,918,210,11,"1,139",781,146,27,954,883,683,0,"1,566","1,322",138,12,"1,472","1,525",84,7,"1,616","1,630",99,12,"1,741","1,242",117,5,"1,364",0,110,"1,176","1,286","1,505",787,16,"2,308","1,161",857,269,"2,287","1,324","1,149",65,"2,538",0,"2,969",490,"3,459","1,553",606,"5,617","7,776","1,593","5,367",180,"7,140","4,640","4,512",186,"9,338","4,295","6,292",476,"11,063","3,366","8,350",201,"11,917","3,667","7,828",159,"11,654","4,819","8,715","2,051","15,585","5,015","9,509",898,"15,422","4,942","11,993",273,"17,208","4,758","15,196",127,"20,081","6,093","17,403",145,"23,641","6,363","17,379",190,"23,932","5,936","18,172",546,"24,654","7,503","19,838",429,"27,770","7,439","20,484",358,"28,281"
"Baldwin County, Alabama",0,Gulf Coast,Deep South,0500000US01003,789,662,0,"1,451",767,663,23,"1,453",776,702,10,"1,488",724,547,0,"1,271",912,382,88,"1,382",726,404,51,"1,181",444,396,81,921,454,126,34,614,439,109,91,639,623,37,266,926,766,216,158,"1,140","1,230",556,151,"1,937","1,023",549,406,"1,978","1,317","1,388",14,"2,719","2,097",544,139,"2,780","2,337",433,196,"2,966","2,681",617,203,"3,501","2,002",695,30,"2,727",0,767,"2,678","3,445","3,386","3,179",52,"6,617","3,878","4,293",244,"8,415","5,647","4,812",177,"10,636",0,"10,870","2,530","13,400","1,821","2,154","14,429","18,404","2,923","15,104",348,"18,375","9,191","13,256",520,"22,967","8,448","18,652","1,253","28,353","7,272","24,964",809,"33,045","9,271","25,933",394,"35,598","12,195","26,270","8,011","46,476","12,776","29,487","4,856","47,119","13,997","40,872","1,611","56,480","15,599","52,971",750,"69,320","19,386","61,271",756,"81,413","18,424","66,016",898,"85,338","18,458","72,883","2,464","93,805","24,578","83,544","1,557","109,679","24,934","95,798","1,517","122,249"
"Barbour County, Alabama",12,Gulf Coast,Deep South,0500000US01005,"3,594",162,0,"3,756","2,753","1,200",1,"3,954","2,122",700,4,"2,826","3,530",452,0,"3,982","4,315",19,"1,241","5,575","2,657","1,437",344,"4,438","2,714",272,44,"3,030","1,356",49,37,"1,442","1,303",43,58,"1,404","1,155",18,105,"1,278","1,235",45,25,"1,305","1,568",203,15,"1,786","1,340",78,45,"1,463","1,507",845,23,"2,374","2,207",64,7,"2,278","2,386",50,11,"2,447","2,328",90,10,"2,428","2,237",67,53,"2,357",0,101,"1,687","1,788","2,250",798,2,"3,050","2,530",777,142,"3,449","2,148","1,166",18,"3,332",0,"3,853",978,"4,831","1,898",386,"5,662","7,946","1,846","4,985",198,"7,029","4,730","3,758",202,"8,690","4,458","4,171",372,"9,001","4,591","5,459",111,"10,161","3,836","4,958",105,"8,899","4,836","4,475","1,120","10,431","4,787","3,627",539,"8,953","5,188","5,096",111,"10,395","4,832","5,899",46,"10,777","5,697","5,866",67,"11,630","5,912","5,550",47,"11,509","4,871","5,454",93,"10,418","4,816","5,622",80,"10,518","4,158","5,606",91,"9,855"
"Bibb County, Alabama",12,Gulf Coast,Deep South,0500000US01007,890,333,0,"1,223",737,106,0,843,622,275,4,901,960,657,9,"1,626","1,152",22,"1,210","2,384","1,516",650,69,"2,235",725,482,70,"1,277","1,085",155,66,"1,306",670,139,109,918,820,40,281,"1,141","1,247",217,123,"1,587","1,643",364,141,"2,148",875,251,248,"1,374","1,188","1,003",8,"2,199","1,636",145,31,"1,812","1,868",190,8,"2,066","1,821",173,18,"2,012","1,287",244,15,"1,546",0,123,"1,220","1,343","1,971",784,14,"2,769","1,471","1,004",107,"2,582","1,697","1,052",3,"2,752",0,"2,623",502,"3,125",652,263,"3,758","4,673",837,"3,332",79,"4,248","2,850","1,591",33,"4,474","3,097","2,491",35,"5,623","2,167","3,487",33,"5,687","2,244","2,885",17,"5,146","2,900","3,124",696,"6,720","2,775","3,037",489,"6,301","2,710","4,273",118,"7,101","2,089","5,472",39,"7,600","2,299","6,262",83,"8,644","2,202","6,132",86,"8,420","1,874","6,738",124,"8,736","1,986","7,525",84,"9,595","1,619","7,572",66,"9,257"
"Blount County, Alabama",0,Gulf Coast,Greater Appalachia,0500000US01009,"1,402",347,0,"1,749","1,318",260,0,"1,578","1,490",463,0,"1,953","1,873",375,7,"2,255","1,944",58,"1,304","3,306","2,422","2,619",70,"5,111","1,484","1,134",186,"2,804","1,383",910,133,"2,426","1,133",973,40,"2,146","1,121",567,612,"2,300","1,488","1,229",32,"2,749","3,535","3,465",50,"7,050","2,083","1,518",109,"3,710","1,607","1,745",0,"3,352","2,232",582,48,"2,862","2,788",744,32,"3,564","2,784",855,38,"3,677","2,134",998,13,"3,145",0,771,"1,792","2,563","3,161","1,720",7,"4,888","3,208","2,628",86,"5,922","3,404","2,557",13,"5,974",0,"4,442","2,427","6,869",331,"2,013","6,742","9,086","1,582","6,486",105,"8,173","6,645","4,233",100,"10,978","5,656","6,819",249,"12,724","3,738","8,508",236,"12,482","4,485","8,754",309,"13,548","5,433","8,882","2,190","16,505","5,061","9,056","1,210","15,327","4,977","12,667",329,"17,973","3,938","17,386",180,"21,504","3,522","20,389",356,"24,267","2,970","20,757",279,"24,006","2,156","22,859",338,"25,353","2,640","24,711",237,"27,588","2,576","25,354",233,"28,163"
"Bullock County, Alabama",11,Gulf Coast,Deep South,0500000US01011,"1,567",959,0,"2,526",125,656,0,781,580,296,3,879,716,465,0,"1,181","1,844",75,"1,483","3,402","1,867",749,147,"2,763","1,586",269,11,"1,866",726,0,2,728,782,10,0,792,736,4,2,742,743,4,2,749,877,2,1,880,763,8,1,772,699,249,0,948,"1,004",12,1,"1,017","1,188",5,1,"1,194","1,301",18,0,"1,319","1,056",24,0,"1,080",0,10,799,809,918,442,0,"1,360",812,304,136,"1,252",757,412,5,"1,174",0,"1,516","1,114","2,630","1,964",190,"2,193","4,347","2,321","2,178",92,"4,591","3,536","1,482",74,"5,092","3,960","1,446",231,"5,637","3,537","1,697",65,"5,299","3,122","1,421",41,"4,584","3,259","1,253",304,"4,816","3,078","1,154",152,"4,384","3,395","1,433",76,"4,904","3,210","1,494",13,"4,717","4,011","1,391",13,"5,415","4,061","1,251",10,"5,322","3,530","1,140",22,"4,692","3,446","1,146",21,"4,613","2,983","1,101",27,"4,111"
"Butler County, Alabama",12,Gulf Coast,Deep South,0500000US01013,"1,956","1,005",0,"2,961","2,026",861,2,"2,889","1,724","1,080",29,"2,833","1,905","1,347",25,"3,277","1,313",253,"1,717","3,283","1,809",846,115,"2,770",744,"1,161",96,"2,001",805,83,67,955,727,137,40,904,903,86,99,"1,088","1,162",78,9,"1,249","1,299",153,19,"1,471","1,050",95,115,"1,260","1,235",699,0,"1,934","2,280",74,10,"2,364","2,358",83,7,"2,448","2,732",52,4,"2,788","1,915",80,5,"2,000",0,91,"1,318","1,409","2,440","1,087",1,"3,528","1,958","1,324",251,"3,533","2,872","1,231",18,"4,121",0,"4,002",973,"4,975","1,240",500,"5,621","7,361","1,401","4,685",42,"6,128","4,271","2,909",28,"7,208","4,156","3,810",402,"8,368","3,641","4,941",127,"8,709","3,465","3,923",71,"7,459","4,021","3,494",963,"8,478","3,828","3,352",590,"7,770","3,606","4,127",70,"7,803","3,413","4,979",24,"8,416","4,188","5,485",36,"9,709","4,374","5,087",35,"9,496","3,726","4,901",65,"8,692","3,965","5,458",65,"9,488","3,251","5,172",57,"8,480"
"Calhoun County, Alabama",12,Gulf Coast,Greater Appalachia,0500000US01015,"2,040",421,0,"2,461","1,984",509,12,"2,505","2,035","1,066",5,"3,106","2,680",938,10,"3,628","3,249",218,"1,617","5,084","2,788","1,222",286,"4,296","1,835",567,282,"2,684","1,556",287,90,"1,933","1,438",570,113,"2,121","1,666",238,455,"2,359","2,231",442,54,"2,727","3,423","1,139",39,"4,601","1,907",766,146,"2,819","2,117","2,537",1,"4,655","4,392",685,31,"5,108","4,322",581,58,"4,961","4,408",645,18,"5,071","4,308",694,28,"5,030",0,856,"3,325","4,181","8,023","3,064",106,"11,193","9,069","4,473",358,"13,900","9,590","4,821",125,"14,536",0,"10,635","6,210","16,845","4,146","3,061","19,568","26,775","5,832","20,364",275,"26,471","20,466","11,763",471,"32,700","17,017","17,475","1,049","35,541","12,752","23,291","2,039","38,082","12,451","19,806","1,711","33,968","16,453","20,623","5,724","42,800","15,725","18,088","3,098","36,911","15,781","22,306",822,"38,909","15,083","29,814",352,"45,249","16,334","32,348",560,"49,242","15,511","30,278",468,"46,257","13,242","32,865","1,116","47,223","15,216","35,101",666,"50,983","13,194","34,912",547,"48,653"
"Chambers County, Alabama",12,Gulf Coast,Deep South,0500000US01017,"2,282","1,053",2,"3,337","1,918",884,28,"2,830","1,805","1,069",0,"2,874","2,115","1,593",0,"3,708","2,321",108,"1,717","4,146","2,010","1,057",90,"3,157","2,837",835,151,"3,823","1,421",74,70,"1,565","1,025",50,29,"1,104","1,486",28,122,"1,636","1,679",168,21,"1,868","1,994",322,14,"2,330","1,922",146,44,"2,112",999,"1,732",0,"2,731","2,552",342,11,"2,905","3,626",112,4,"3,742","4,141",110,11,"4,262","3,458",194,10,"3,662",0,218,"1,549","1,767","6,155",990,45,"7,190","5,165","1,448",124,"6,737","5,165","1,865",71,"7,101",0,"4,630","2,557","7,187","1,358","1,082","8,196","10,636","2,076","8,716",211,"11,003","6,164","5,488",196,"11,848","6,649","4,864",386,"11,899","5,302","8,024",137,"13,463","5,103","7,694",159,"12,956","5,938","5,682","1,471","13,091","5,515","4,707",875,"11,097","5,616","6,037",181,"11,834","5,347","7,622",63,"13,032","6,799","8,067",90,"14,956","6,871","7,626",114,"14,611","5,784","7,843",168,"13,795","6,365","8,753",166,"15,284","5,405","8,711",129,"14,245"
"Cherokee County, Alabama",3,Gulf Coast,Greater Appalachia,0500000US01019,"1,666",293,0,"1,959","1,390",180,0,"1,570","1,397",427,0,"1,824","1,686",333,21,"2,040","1,709",139,"1,303","3,151","1,776",602,107,"2,485","1,167","1,169",451,"2,787",905,502,285,"1,692",712,602,98,"1,412",814,88,846,"1,748","1,136",508,32,"1,676","1,969","1,576",58,"3,603","1,380",845,51,"2,276",894,"1,515",4,"2,413","1,897",359,27,"2,283","2,113",375,19,"2,507","2,617",381,12,"3,010","1,774",408,18,"2,200",0,217,"1,076","1,293","2,664",539,8,"3,211","2,661",845,7,"3,513","3,097",872,4,"3,973",0,"1,893","1,916","3,809",462,343,"4,880","5,685","1,182","3,179",61,"4,422","4,668","1,492",96,"6,256","3,764","2,482",192,"6,438","3,029","3,225",65,"6,319","3,176","2,868",57,"6,101","4,222","2,745",909,"7,876","4,399","3,048",974,"8,421","3,497","4,154",172,"7,823","3,040","5,923",86,"9,049","2,306","7,298",141,"9,745","2,132","7,506",141,"9,779","1,547","8,953",147,"10,647","1,624","10,583",94,"12,301","1,553","11,358",95,"13,006"
